COUNTRY_PERIOD_INDEX,YEAR,ISO3_COUNTRY_CODE,OECD_RATING
DZA-2016,2016,DZA,3
DZA-2017,2017,DZA,4
DZA-2018,2018,DZA,4
DZA-2019,2019,DZA,4
DZA-2020,2020,DZA,4
DZA-2021,2021,DZA,5
DZA-2022,2022,DZA,5
DZA-2023,2023,DZA,5
DZA-2024,2024,DZA,-
DZA-2025,2025,DZA,-
DZA-2026,2026,DZA,-
AND-1999,1999,AND,-
AND-2000,2000,AND,-
AND-2001,2001,AND,-
AND-2002,2002,AND,-
AND-2003,2003,AND,-
AND-2004,2004,AND,-
AND-2005,2005,AND,-
AND-2006,2006,AND,-
AND-2007,2007,AND,-
AND-2008,2008,AND,-
AND-2009,2009,AND,-
AND-2010,2010,AND,-
AND-2011,2011,AND,-
AND-2012,2012,AND,-
AND-2013,2013,AND,-
AND-2014,2014,AND,-
AND-2015,2015,AND,-
AND-2016,2016,AND,-
AND-2017,2017,AND,-
AND-2018,2018,AND,-
AND-2019,2019,AND,-
AND-2020,2020,AND,-
AND-2021,2021,AND,-
AND-2022,2022,AND,-
AND-2023,2023,AND,-
AND-2024,2024,AND,-
AND-2025,2025,AND,-
AND-2026,2026,AND,-
AGO-1999,1999,AGO,7
AGO-2000,2000,AGO,7
AGO-2001,2001,AGO,7
AGO-2002,2002,AGO,7
AGO-2003,2003,AGO,7
AGO-2004,2004,AGO,7
AGO-2005,2005,AGO,7
AGO-2006,2006,AGO,7
AGO-2007,2007,AGO,7
AGO-2008,2008,AGO,7
AGO-2009,2009,AGO,6
AGO-2010,2010,AGO,6
AGO-2011,2011,AGO,6
AGO-2012,2012,AGO,6
AGO-2013,2013,AGO,5
AGO-2014,2014,AGO,5
AGO-2015,2015,AGO,5
AGO-2016,2016,AGO,5
AGO-2017,2017,AGO,6
AGO-2018,2018,AGO,6
AGO-2019,2019,AGO,6
AGO-2020,2020,AGO,6
AGO-2021,2021,AGO,6
AGO-2022,2022,AGO,6
AGO-2023,2023,AGO,6
AGO-2024,2024,AGO,-
AGO-2025,2025,AGO,-
AGO-2026,2026,AGO,-
ATG-1999,1999,ATG,7
ATG-2000,2000,ATG,7
ATG-2001,2001,ATG,7
ATG-2002,2002,ATG,7
ATG-2003,2003,ATG,7
ATG-2004,2004,ATG,7
ATG-2005,2005,ATG,7
ATG-2006,2006,ATG,7
ATG-2007,2007,ATG,7
ATG-2008,2008,ATG,6
ATG-2009,2009,ATG,6
ATG-2010,2010,ATG,6
ATG-2011,2011,ATG,6
ATG-2012,2012,ATG,6
ATG-2013,2013,ATG,6
ATG-2014,2014,ATG,6
ATG-2015,2015,ATG,1
ATG-2016,2016,ATG,1
ATG-2017,2017,ATG,1
ATG-2018,2018,ATG,1
ATG-2019,2019,ATG,1
ATG-2020,2020,ATG,1
ATG-2021,2021,ATG,1
ATG-2022,2022,ATG,1
ATG-2023,2023,ATG,1
ATG-2024,2024,ATG,-
ATG-2025,2025,ATG,-
ATG-2026,2026,ATG,-
ARG-1999,1999,ARG,5
ARG-2000,2000,ARG,5
ARG-2001,2001,ARG,6
ARG-2002,2002,ARG,6
ARG-2003,2003,ARG,7
ARG-2004,2004,ARG,7
ARG-2005,2005,ARG,7
ARG-2006,2006,ARG,7
ARG-2007,2007,ARG,7
ARG-2008,2008,ARG,7
ARG-2009,2009,ARG,7
ARG-2010,2010,ARG,7
ARG-2011,2011,ARG,7
ARG-2012,2012,ARG,7
ARG-2013,2013,ARG,7
ARG-2014,2014,ARG,7
ARG-2015,2015,ARG,7
ARG-2016,2016,ARG,7
ARG-2017,2017,ARG,6
ARG-2018,2018,ARG,6
ARG-2019,2019,ARG,6
ARG-2020,2020,ARG,7
ARG-2021,2021,ARG,7
ARG-2022,2022,ARG,7
ARG-2023,2023,ARG,7
ARG-2024,2024,ARG,-
ARG-2025,2025,ARG,-
ARG-2026,2026,ARG,-
ARM-1999,1999,ARM,7
ARM-2000,2000,ARM,7
ARM-2001,2001,ARM,7
ARM-2002,2002,ARM,7
ARM-2003,2003,ARM,7
ARM-2004,2004,ARM,7
ARM-2005,2005,ARM,7
ARM-2006,2006,ARM,7
ARM-2007,2007,ARM,6
ARM-2008,2008,ARM,6
ARM-2009,2009,ARM,6
ARM-2010,2010,ARM,6
ARM-2011,2011,ARM,6
ARM-2012,2012,ARM,6
ARM-2013,2013,ARM,6
ARM-2014,2014,ARM,6
ARM-2015,2015,ARM,6
ARM-2016,2016,ARM,6
ARM-2017,2017,ARM,6
ARM-2018,2018,ARM,6
ARM-2019,2019,ARM,6
ARM-2020,2020,ARM,6
ARM-2021,2021,ARM,6
ARM-2022,2022,ARM,6
ARM-2023,2023,ARM,6
ARM-2024,2024,ARM,-
ARM-2025,2025,ARM,-
ARM-2026,2026,ARM,-
ABW-1999,1999,ABW,-
ABW-2000,2000,ABW,-
ABW-2001,2001,ABW,4
ABW-2002,2002,ABW,4
ABW-2003,2003,ABW,4
ABW-2004,2004,ABW,4
ABW-2005,2005,ABW,4
ABW-2006,2006,ABW,4
ABW-2007,2007,ABW,4
ABW-2008,2008,ABW,-
ABW-2009,2009,ABW,-
ABW-2010,2010,ABW,-
ABW-2011,2011,ABW,-
ABW-2012,2012,ABW,-
ABW-2013,2013,ABW,-
ABW-2014,2014,ABW,4
ABW-2015,2015,ABW,4
ABW-2016,2016,ABW,4
ABW-2017,2017,ABW,4
ABW-2018,2018,ABW,4
ABW-2019,2019,ABW,4
ABW-2020,2020,ABW,4
ABW-2021,2021,ABW,5
ABW-2022,2022,ABW,6
ABW-2023,2023,ABW,5
ABW-2024,2024,ABW,-
ABW-2025,2025,ABW,-
ABW-2026,2026,ABW,-
AUS-1999,1999,AUS,1
AUS-2000,2000,AUS,1
AUS-2001,2001,AUS,1
AUS-2002,2002,AUS,1
AUS-2003,2003,AUS,1
AUS-2004,2004,AUS,1
AUS-2005,2005,AUS,1
AUS-2006,2006,AUS,1
AUS-2007,2007,AUS,1
AUS-2008,2008,AUS,1
AUS-2009,2009,AUS,1
AUS-2010,2010,AUS,1
AUS-2011,2011,AUS,1
AUS-2012,2012,AUS,1
AUS-2013,2013,AUS,1
AUS-2014,2014,AUS,1
AUS-2015,2015,AUS,1
AUS-2016,2016,AUS,1
AUS-2017,2017,AUS,1
AUS-2018,2018,AUS,1
AUS-2019,2019,AUS,1
AUS-2020,2020,AUS,1
AUS-2021,2021,AUS,1
AUS-2022,2022,AUS,1
AUS-2023,2023,AUS,1
AUS-2024,2024,AUS,-
AUS-2025,2025,AUS,-
AUS-2026,2026,AUS,-
AUT-1999,1999,AUT,1
AUT-2000,2000,AUT,1
AUT-2001,2001,AUT,1
AUT-2002,2002,AUT,1
AUT-2003,2003,AUT,1
AUT-2004,2004,AUT,1
AUT-2005,2005,AUT,1
AUT-2006,2006,AUT,1
AUT-2007,2007,AUT,1
AUT-2008,2008,AUT,1
AUT-2009,2009,AUT,1
AUT-2010,2010,AUT,1
AUT-2011,2011,AUT,1
AUT-2012,2012,AUT,1
AUT-2013,2013,AUT,1
AUT-2014,2014,AUT,1
AUT-2015,2015,AUT,1
AUT-2016,2016,AUT,1
AUT-2017,2017,AUT,1
AUT-2018,2018,AUT,1
AUT-2019,2019,AUT,1
AUT-2020,2020,AUT,1
AUT-2021,2021,AUT,1
AUT-2022,2022,AUT,1
AUT-2023,2023,AUT,1
AUT-2024,2024,AUT,-
AUT-2025,2025,AUT,-
AUT-2026,2026,AUT,-
AZE-1999,1999,AZE,7
AZE-2000,2000,AZE,7
AZE-2001,2001,AZE,7
AZE-2002,2002,AZE,7
AZE-2003,2003,AZE,6
AZE-2004,2004,AZE,6
AZE-2005,2005,AZE,6
AZE-2006,2006,AZE,6
AZE-2007,2007,AZE,5
AZE-2008,2008,AZE,5
AZE-2009,2009,AZE,5
AZE-2010,2010,AZE,5
AZE-2011,2011,AZE,5
AZE-2012,2012,AZE,5
AZE-2013,2013,AZE,5
AZE-2014,2014,AZE,5
AZE-2015,2015,AZE,5
AZE-2016,2016,AZE,5
AZE-2017,2017,AZE,5
AZE-2018,2018,AZE,5
AZE-2019,2019,AZE,5
AZE-2020,2020,AZE,5
AZE-2021,2021,AZE,5
AZE-2022,2022,AZE,5
AZE-2023,2023,AZE,4
AZE-2024,2024,AZE,-
AZE-2025,2025,AZE,-
AZE-2026,2026,AZE,-
BHS-1999,1999,BHS,3
BHS-2000,2000,BHS,3
BHS-2001,2001,BHS,3
BHS-2002,2002,BHS,3
BHS-2003,2003,BHS,3
BHS-2004,2004,BHS,3
BHS-2005,2005,BHS,3
BHS-2006,2006,BHS,3
BHS-2007,2007,BHS,3
BHS-2008,2008,BHS,3
BHS-2009,2009,BHS,3
BHS-2010,2010,BHS,3
BHS-2011,2011,BHS,3
BHS-2012,2012,BHS,3
BHS-2013,2013,BHS,3
BHS-2014,2014,BHS,3
BHS-2015,2015,BHS,3
BHS-2016,2016,BHS,3
BHS-2017,2017,BHS,3
BHS-2018,2018,BHS,3
BHS-2019,2019,BHS,3
BHS-2020,2020,BHS,3
BHS-2021,2021,BHS,4
BHS-2022,2022,BHS,4
BHS-2023,2023,BHS,4
BHS-2024,2024,BHS,-
BHS-2025,2025,BHS,-
BHS-2026,2026,BHS,-
BHR-1999,1999,BHR,3
BHR-2000,2000,BHR,3
BHR-2001,2001,BHR,3
BHR-2002,2002,BHR,3
BHR-2003,2003,BHR,3
BHR-2004,2004,BHR,3
BHR-2005,2005,BHR,3
BHR-2006,2006,BHR,3
BHR-2007,2007,BHR,2
BHR-2008,2008,BHR,2
BHR-2009,2009,BHR,2
BHR-2010,2010,BHR,2
BHR-2011,2011,BHR,3
BHR-2012,2012,BHR,4
BHR-2013,2013,BHR,4
BHR-2014,2014,BHR,4
BHR-2015,2015,BHR,4
BHR-2016,2016,BHR,4
BHR-2017,2017,BHR,4
BHR-2018,2018,BHR,4
BHR-2019,2019,BHR,4
BHR-2020,2020,BHR,5
BHR-2021,2021,BHR,5
BHR-2022,2022,BHR,6
BHR-2023,2023,BHR,6
BHR-2024,2024,BHR,-
BHR-2025,2025,BHR,-
BHR-2026,2026,BHR,-
BGD-1999,1999,BGD,5
BGD-2000,2000,BGD,5
BGD-2001,2001,BGD,5
BGD-2002,2002,BGD,5
BGD-2003,2003,BGD,6
BGD-2004,2004,BGD,6
BGD-2005,2005,BGD,6
BGD-2006,2006,BGD,6
BGD-2007,2007,BGD,6
BGD-2008,2008,BGD,6
BGD-2009,2009,BGD,6
BGD-2010,2010,BGD,6
BGD-2011,2011,BGD,6
BGD-2012,2012,BGD,6
BGD-2013,2013,BGD,6
BGD-2014,2014,BGD,6
BGD-2015,2015,BGD,6
BGD-2016,2016,BGD,5
BGD-2017,2017,BGD,5
BGD-2018,2018,BGD,5
BGD-2019,2019,BGD,5
BGD-2020,2020,BGD,5
BGD-2021,2021,BGD,5
BGD-2022,2022,BGD,5
BGD-2023,2023,BGD,5
BGD-2024,2024,BGD,-
BGD-2025,2025,BGD,-
BGD-2026,2026,BGD,-
BLR-1999,1999,BLR,7
BLR-2000,2000,BLR,7
BLR-2001,2001,BLR,7
BLR-2002,2002,BLR,7
BLR-2003,2003,BLR,7
BLR-2004,2004,BLR,7
BLR-2005,2005,BLR,7
BLR-2006,2006,BLR,7
BLR-2007,2007,BLR,7
BLR-2008,2008,BLR,7
BLR-2009,2009,BLR,7
BLR-2010,2010,BLR,7
BLR-2011,2011,BLR,7
BLR-2012,2012,BLR,7
BLR-2013,2013,BLR,7
BLR-2014,2014,BLR,7
BLR-2015,2015,BLR,7
BLR-2016,2016,BLR,7
BLR-2017,2017,BLR,7
BLR-2018,2018,BLR,7
BLR-2019,2019,BLR,6
BLR-2020,2020,BLR,6
BLR-2021,2021,BLR,6
BLR-2022,2022,BLR,6
BLR-2023,2023,BLR,7
BLR-2024,2024,BLR,-
BLR-2025,2025,BLR,-
BLR-2026,2026,BLR,-
BEL-1999,1999,BEL,1
BEL-2000,2000,BEL,1
BEL-2001,2001,BEL,1
BEL-2002,2002,BEL,1
BEL-2003,2003,BEL,1
BEL-2004,2004,BEL,1
BEL-2005,2005,BEL,1
BEL-2006,2006,BEL,1
BEL-2007,2007,BEL,1
BEL-2008,2008,BEL,1
BEL-2009,2009,BEL,1
BEL-2010,2010,BEL,1
BEL-2011,2011,BEL,1
BEL-2012,2012,BEL,1
BEL-2013,2013,BEL,1
BEL-2014,2014,BEL,1
BEL-2015,2015,BEL,1
BEL-2016,2016,BEL,1
BEL-2017,2017,BEL,1
BEL-2018,2018,BEL,1
BEL-2019,2019,BEL,1
BEL-2020,2020,BEL,1
BEL-2021,2021,BEL,1
BEL-2022,2022,BEL,1
BEL-2023,2023,BEL,1
BEL-2024,2024,BEL,-
BEL-2025,2025,BEL,-
BEL-2026,2026,BEL,-
BLZ-1999,1999,BLZ,5
BLZ-2000,2000,BLZ,5
BLZ-2001,2001,BLZ,5
BLZ-2002,2002,BLZ,5
BLZ-2003,2003,BLZ,6
BLZ-2004,2004,BLZ,6
BLZ-2005,2005,BLZ,6
BLZ-2006,2006,BLZ,7
BLZ-2007,2007,BLZ,7
BLZ-2008,2008,BLZ,7
BLZ-2009,2009,BLZ,6
BLZ-2010,2010,BLZ,6
BLZ-2011,2011,BLZ,6
BLZ-2012,2012,BLZ,6
BLZ-2013,2013,BLZ,-
BLZ-2014,2014,BLZ,-
BLZ-2015,2015,BLZ,-
BLZ-2016,2016,BLZ,-
BLZ-2017,2017,BLZ,7
BLZ-2018,2018,BLZ,7
BLZ-2019,2019,BLZ,-
BLZ-2020,2020,BLZ,-
BLZ-2021,2021,BLZ,-
BLZ-2022,2022,BLZ,-
BLZ-2023,2023,BLZ,-
BLZ-2024,2024,BLZ,-
BLZ-2025,2025,BLZ,-
BLZ-2026,2026,BLZ,-
BEN-1999,1999,BEN,6
BEN-2000,2000,BEN,6
BEN-2001,2001,BEN,7
BEN-2002,2002,BEN,7
BEN-2003,2003,BEN,7
BEN-2004,2004,BEN,7
BEN-2005,2005,BEN,7
BEN-2006,2006,BEN,7
BEN-2007,2007,BEN,7
BEN-2008,2008,BEN,6
BEN-2009,2009,BEN,6
BEN-2010,2010,BEN,6
BEN-2011,2011,BEN,6
BEN-2012,2012,BEN,6
BEN-2013,2013,BEN,6
BEN-2014,2014,BEN,6
BEN-2015,2015,BEN,1
BEN-2016,2016,BEN,1
BEN-2017,2017,BEN,1
BEN-2018,2018,BEN,1
BEN-2019,2019,BEN,1
BEN-2020,2020,BEN,1
BEN-2021,2021,BEN,1
BEN-2022,2022,BEN,1
BEN-2023,2023,BEN,1
BEN-2024,2024,BEN,-
BEN-2025,2025,BEN,-
BEN-2026,2026,BEN,-
BTN-1999,1999,BTN,6
BTN-2000,2000,BTN,6
BTN-2001,2001,BTN,-
BTN-2002,2002,BTN,-
BTN-2003,2003,BTN,-
BTN-2004,2004,BTN,-
BTN-2005,2005,BTN,-
BTN-2006,2006,BTN,-
BTN-2007,2007,BTN,-
BTN-2008,2008,BTN,-
BTN-2009,2009,BTN,-
BTN-2010,2010,BTN,-
BTN-2011,2011,BTN,-
BTN-2012,2012,BTN,-
BTN-2013,2013,BTN,-
BTN-2014,2014,BTN,6
BTN-2015,2015,BTN,6
BTN-2016,2016,BTN,6
BTN-2017,2017,BTN,6
BTN-2018,2018,BTN,6
BTN-2019,2019,BTN,6
BTN-2020,2020,BTN,6
BTN-2021,2021,BTN,6
BTN-2022,2022,BTN,6
BTN-2023,2023,BTN,6
BTN-2024,2024,BTN,-
BTN-2025,2025,BTN,-
BTN-2026,2026,BTN,-
BOL-1999,1999,BOL,6
BOL-2000,2000,BOL,6
BOL-2001,2001,BOL,7
BOL-2002,2002,BOL,7
BOL-2003,2003,BOL,7
BOL-2004,2004,BOL,7
BOL-2005,2005,BOL,7
BOL-2006,2006,BOL,7
BOL-2007,2007,BOL,7
BOL-2008,2008,BOL,7
BOL-2009,2009,BOL,7
BOL-2010,2010,BOL,7
BOL-2011,2011,BOL,6
BOL-2012,2012,BOL,6
BOL-2013,2013,BOL,6
BOL-2014,2014,BOL,6
BOL-2015,2015,BOL,5
BOL-2016,2016,BOL,5
BOL-2017,2017,BOL,5
BOL-2018,2018,BOL,5
BOL-2019,2019,BOL,5
BOL-2020,2020,BOL,5
BOL-2021,2021,BOL,5
BOL-2022,2022,BOL,6
BOL-2023,2023,BOL,6
BOL-2024,2024,BOL,-
BOL-2025,2025,BOL,-
BOL-2026,2026,BOL,-
BIH-1999,1999,BIH,7
BIH-2000,2000,BIH,7
BIH-2001,2001,BIH,7
BIH-2002,2002,BIH,7
BIH-2003,2003,BIH,7
BIH-2004,2004,BIH,7
BIH-2005,2005,BIH,7
BIH-2006,2006,BIH,7
BIH-2007,2007,BIH,7
BIH-2008,2008,BIH,7
BIH-2009,2009,BIH,7
BIH-2010,2010,BIH,7
BIH-2011,2011,BIH,7
BIH-2012,2012,BIH,7
BIH-2013,2013,BIH,7
BIH-2014,2014,BIH,7
BIH-2015,2015,BIH,7
BIH-2016,2016,BIH,7
BIH-2017,2017,BIH,7
BIH-2018,2018,BIH,7
BIH-2019,2019,BIH,7
BIH-2020,2020,BIH,7
BIH-2021,2021,BIH,7
BIH-2022,2022,BIH,7
BIH-2023,2023,BIH,7
BIH-2024,2024,BIH,-
BIH-2025,2025,BIH,-
BIH-2026,2026,BIH,-
BWA-1999,1999,BWA,2
BWA-2000,2000,BWA,2
BWA-2001,2001,BWA,2
BWA-2002,2002,BWA,2
BWA-2003,2003,BWA,2
BWA-2004,2004,BWA,2
BWA-2005,2005,BWA,2
BWA-2006,2006,BWA,2
BWA-2007,2007,BWA,2
BWA-2008,2008,BWA,2
BWA-2009,2009,BWA,2
BWA-2010,2010,BWA,3
BWA-2011,2011,BWA,3
BWA-2012,2012,BWA,3
BWA-2013,2013,BWA,2
BWA-2014,2014,BWA,2
BWA-2015,2015,BWA,2
BWA-2016,2016,BWA,2
BWA-2017,2017,BWA,2
BWA-2018,2018,BWA,2
BWA-2019,2019,BWA,2
BWA-2020,2020,BWA,2
BWA-2021,2021,BWA,3
BWA-2022,2022,BWA,3
BWA-2023,2023,BWA,3
BWA-2024,2024,BWA,-
BWA-2025,2025,BWA,-
BWA-2026,2026,BWA,-
BRA-1999,1999,BRA,5
BRA-2000,2000,BRA,6
BRA-2001,2001,BRA,6
BRA-2002,2002,BRA,6
BRA-2003,2003,BRA,6
BRA-2004,2004,BRA,6
BRA-2005,2005,BRA,6
BRA-2006,2006,BRA,5
BRA-2007,2007,BRA,4
BRA-2008,2008,BRA,3
BRA-2009,2009,BRA,3
BRA-2010,2010,BRA,3
BRA-2011,2011,BRA,3
BRA-2012,2012,BRA,3
BRA-2013,2013,BRA,3
BRA-2014,2014,BRA,3
BRA-2015,2015,BRA,3
BRA-2016,2016,BRA,4
BRA-2017,2017,BRA,5
BRA-2018,2018,BRA,5
BRA-2019,2019,BRA,5
BRA-2020,2020,BRA,5
BRA-2021,2021,BRA,5
BRA-2022,2022,BRA,5
BRA-2023,2023,BRA,5
BRA-2024,2024,BRA,-
BRA-2025,2025,BRA,-
BRA-2026,2026,BRA,-
BRN-1999,1999,BRN,2
BRN-2000,2000,BRN,2
BRN-2001,2001,BRN,1
BRN-2002,2002,BRN,1
BRN-2003,2003,BRN,2
BRN-2004,2004,BRN,2
BRN-2005,2005,BRN,2
BRN-2006,2006,BRN,2
BRN-2007,2007,BRN,2
BRN-2008,2008,BRN,2
BRN-2009,2009,BRN,2
BRN-2010,2010,BRN,2
BRN-2011,2011,BRN,2
BRN-2012,2012,BRN,2
BRN-2013,2013,BRN,2
BRN-2014,2014,BRN,2
BRN-2015,2015,BRN,2
BRN-2016,2016,BRN,-
BRN-2017,2017,BRN,-
BRN-2018,2018,BRN,-
BRN-2019,2019,BRN,-
BRN-2020,2020,BRN,-
BRN-2021,2021,BRN,-
BRN-2022,2022,BRN,-
BRN-2023,2023,BRN,-
BRN-2024,2024,BRN,-
BRN-2025,2025,BRN,-
BRN-2026,2026,BRN,-
BGR-1999,1999,BGR,6
BGR-2000,2000,BGR,6
BGR-2001,2001,BGR,6
BGR-2002,2002,BGR,5
BGR-2003,2003,BGR,5
BGR-2004,2004,BGR,5
BGR-2005,2005,BGR,4
BGR-2006,2006,BGR,4
BGR-2007,2007,BGR,4
BGR-2008,2008,BGR,3
BGR-2009,2009,BGR,3
BGR-2010,2010,BGR,4
BGR-2011,2011,BGR,4
BGR-2012,2012,BGR,4
BGR-2013,2013,BGR,4
BGR-2014,2014,BGR,4
BGR-2015,2015,BGR,4
BGR-2016,2016,BGR,4
BGR-2017,2017,BGR,4
BGR-2018,2018,BGR,3
BGR-2019,2019,BGR,3
BGR-2020,2020,BGR,3
BGR-2021,2021,BGR,3
BGR-2022,2022,BGR,3
BGR-2023,2023,BGR,3
BGR-2024,2024,BGR,-
BGR-2025,2025,BGR,-
BGR-2026,2026,BGR,-
BFA-1999,1999,BFA,6
BFA-2000,2000,BFA,7
BFA-2001,2001,BFA,7
BFA-2002,2002,BFA,7
BFA-2003,2003,BFA,7
BFA-2004,2004,BFA,7
BFA-2005,2005,BFA,7
BFA-2006,2006,BFA,7
BFA-2007,2007,BFA,7
BFA-2008,2008,BFA,7
BFA-2009,2009,BFA,7
BFA-2010,2010,BFA,7
BFA-2011,2011,BFA,7
BFA-2012,2012,BFA,7
BFA-2013,2013,BFA,7
BFA-2014,2014,BFA,7
BFA-2015,2015,BFA,1
BFA-2016,2016,BFA,1
BFA-2017,2017,BFA,1
BFA-2018,2018,BFA,1
BFA-2019,2019,BFA,1
BFA-2020,2020,BFA,1
BFA-2021,2021,BFA,1
BFA-2022,2022,BFA,1
BFA-2023,2023,BFA,1
BFA-2024,2024,BFA,-
BFA-2025,2025,BFA,-
BFA-2026,2026,BFA,-
BDI-1999,1999,BDI,-
BDI-2000,2000,BDI,-
BDI-2001,2001,BDI,-
BDI-2002,2002,BDI,-
BDI-2003,2003,BDI,-
BDI-2004,2004,BDI,-
BDI-2005,2005,BDI,-
BDI-2006,2006,BDI,-
BDI-2007,2007,BDI,-
BDI-2008,2008,BDI,7
BDI-2009,2009,BDI,7
BDI-2010,2010,BDI,7
BDI-2011,2011,BDI,7
BDI-2012,2012,BDI,7
BDI-2013,2013,BDI,7
BDI-2014,2014,BDI,7
BDI-2015,2015,BDI,7
BDI-2016,2016,BDI,7
BDI-2017,2017,BDI,7
BDI-2018,2018,BDI,7
BDI-2019,2019,BDI,7
BDI-2020,2020,BDI,7
BDI-2021,2021,BDI,7
BDI-2022,2022,BDI,7
BDI-2023,2023,BDI,7
BDI-2024,2024,BDI,-
BDI-2025,2025,BDI,-
BDI-2026,2026,BDI,-
CPV-1999,1999,CPV,6
CPV-2000,2000,CPV,6
CPV-2001,2001,CPV,6
CPV-2002,2002,CPV,6
CPV-2003,2003,CPV,7
CPV-2004,2004,CPV,7
CPV-2005,2005,CPV,7
CPV-2006,2006,CPV,7
CPV-2007,2007,CPV,6
CPV-2008,2008,CPV,6
CPV-2009,2009,CPV,5
CPV-2010,2010,CPV,5
CPV-2011,2011,CPV,6
CPV-2012,2012,CPV,5
CPV-2013,2013,CPV,6
CPV-2014,2014,CPV,6
CPV-2015,2015,CPV,6
CPV-2016,2016,CPV,6
CPV-2017,2017,CPV,6
CPV-2018,2018,CPV,6
CPV-2019,2019,CPV,6
CPV-2020,2020,CPV,6
CPV-2021,2021,CPV,6
CPV-2022,2022,CPV,6
CPV-2023,2023,CPV,6
CPV-2024,2024,CPV,-
CPV-2025,2025,CPV,-
CPV-2026,2026,CPV,-
KHM-1999,1999,KHM,-
KHM-2000,2000,KHM,-
KHM-2001,2001,KHM,-
KHM-2002,2002,KHM,-
KHM-2003,2003,KHM,-
KHM-2004,2004,KHM,-
KHM-2005,2005,KHM,-
KHM-2006,2006,KHM,-
KHM-2007,2007,KHM,-
KHM-2008,2008,KHM,7
KHM-2009,2009,KHM,6
KHM-2010,2010,KHM,6
KHM-2011,2011,KHM,6
KHM-2012,2012,KHM,6
KHM-2013,2013,KHM,6
KHM-2014,2014,KHM,6
KHM-2015,2015,KHM,6
KHM-2016,2016,KHM,6
KHM-2017,2017,KHM,6
KHM-2018,2018,KHM,6
KHM-2019,2019,KHM,6
KHM-2020,2020,KHM,6
KHM-2021,2021,KHM,6
KHM-2022,2022,KHM,6
KHM-2023,2023,KHM,6
KHM-2024,2024,KHM,-
KHM-2025,2025,KHM,-
KHM-2026,2026,KHM,-
CMR-1999,1999,CMR,7
CMR-2000,2000,CMR,7
CMR-2001,2001,CMR,7
CMR-2002,2002,CMR,7
CMR-2003,2003,CMR,7
CMR-2004,2004,CMR,7
CMR-2005,2005,CMR,7
CMR-2006,2006,CMR,7
CMR-2007,2007,CMR,7
CMR-2008,2008,CMR,7
CMR-2009,2009,CMR,6
CMR-2010,2010,CMR,6
CMR-2011,2011,CMR,6
CMR-2012,2012,CMR,6
CMR-2013,2013,CMR,6
CMR-2014,2014,CMR,6
CMR-2015,2015,CMR,1
CMR-2016,2016,CMR,1
CMR-2017,2017,CMR,1
CMR-2018,2018,CMR,1
CMR-2019,2019,CMR,1
CMR-2020,2020,CMR,1
CMR-2021,2021,CMR,1
CMR-2022,2022,CMR,1
CMR-2023,2023,CMR,1
CMR-2024,2024,CMR,-
CMR-2025,2025,CMR,-
CMR-2026,2026,CMR,-
CAN-1999,1999,CAN,1
