COUNTRY_PERIOD_INDEX,YEAR,ISO3_COUNTRY_CODE,OECD_RATING,WB-WDI-NY.ADJ.DPEM.GN.ZS,IMF-FM-GGR_G01_GDP_PT,IMF-FM-G_X_G01_GDP_PT,WB-WDI-NY.GDP.PCAP.CD,Info-Country_Name,Legal_Systems-Civil_Law,Legal_Systems-Common_Law,Legal_Systems-Customary,Legal_Systems-Muslim,Legal_Systems-Mixed,Languages-Official_language,Languages-Regional_language,Languages-Minority_language,Languages-National_language,Languages-Widely_spoken,Geography-x_coord,Geography-y_coord,Geography-Region,Geography-Sub_Region,Geography-Intermediate_Region,Geography-Region_Code,Geography-Sub_Region_Code,Geography-Intermediate_Region_Code,Economy-Income_Group
AFG-2009,2009,AFG,7,3.20747334262674,19.390544374803,21.1511364650127,453.387385142577,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2010,2010,AFG,7,2.97352486773898,21.7224884173169,20.7891447918216,562.499221552971,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2011,2011,AFG,7,3.1037318944545,21.2648238802967,21.9366455778211,608.738850364613,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2012,2012,AFG,7,2.83101081244359,25.2102616617893,25.028204609336,653.417474910283,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2013,2013,AFG,7,2.7936271650952,24.3460298979079,24.9769754674692,638.73318101404,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2014,2014,AFG,7,2.71656264200805,23.6836524764622,25.4024492849051,626.512929086139,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2015,2015,AFG,7,2.57155003850241,24.5690414796792,25.9467418083646,566.881129708434,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2016,2016,AFG,7,2.46152507445241,28.1562331014637,28.0289751169703,523.053011984748,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2017,2017,AFG,7,2.33247295064515,27.0587245639144,27.731830470057,526.140801025756,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2018,2018,AFG,7,2.20936936088929,30.5698305547137,28.9356348144642,492.090630986151,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2019,2019,AFG,7,2.07635233784877,26.9409385150874,27.9990196329378,497.741431256813,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2020,2020,AFG,7,2.13937881110499,25.6942215121026,27.9370209050755,512.055098005672,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2021,2021,AFG,7,,17.4489341948511,17.9338730127618,355.777826392648,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2022,2022,AFG,7,,15.1182523826354,16.1155890993465,352.603733092107,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2023,2023,AFG,7,,15.6022750224866,16.9669859587887,,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2024,2024,AFG,-,,,,,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2025,2025,AFG,-,,,,,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
AFG-2026,2026,AFG,-,,,,,AFGHANISTAN,0.0,0.0,0.0,1.0,0.0,Pashto/Dari,Uzbek/Turkmen/Pashai/Nuristani/Balochi/Pamiri,,Pashto,,33.93911,67.709953,Asia,Southern Asia,Southern Asia,142.0,34.0,0.0,Low income
ALB-1999,1999,ALB,7,0.465123276201477,27.9336571330602,36.671107339696,1033.24253162418,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2000,2000,ALB,7,0.41260810994422,25.759391370622,33.4400537940224,1126.68334010717,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2001,2001,ALB,7,0.359898261020294,25.5438638840079,32.3006227570227,1281.6598256178,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2002,2002,ALB,7,0.353945246565523,25.0251691121778,31.1637295772278,1425.12421860142,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2003,2003,ALB,7,0.346318223910357,24.3836827718752,29.3309186048443,1846.12012081207,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2004,2004,ALB,7,0.32845816164387,24.6981505777535,29.8001833015202,2373.58129170055,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2005,2005,ALB,6,0.310842565639564,25.1350940798877,28.5522174537898,2673.78781583529,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2006,2006,ALB,6,0.278908371633569,25.6230792646641,28.8479191197651,2972.74362094736,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2007,2007,ALB,6,0.254108293547218,25.8225814467888,28.9643307381726,3595.03829536404,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2008,2008,ALB,6,0.248885328189019,26.5266139869668,31.3533725035842,4370.53971639449,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2009,2009,ALB,6,0.251016446649349,25.7861386571506,32.295158013546,4114.13403283023,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2010,2010,ALB,6,0.237299518522626,25.562329107829,29.0410533214753,4094.34968570481,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2011,2011,ALB,6,0.26812258715265,25.1081638183432,28.5831229317559,4437.14116097061,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2012,2012,ALB,6,0.278814321703195,24.4969836654152,27.8971215984375,4247.63134315945,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2013,2013,ALB,6,0.248905095991213,23.6955125241189,28.8493989334494,4413.06338346821,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2014,2014,ALB,6,0.249135930046865,25.9626489704016,31.356010836589,4578.63320812155,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2015,2015,ALB,6,0.245529147438201,26.1290520966806,30.3960840351657,3952.80357364813,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2016,2016,ALB,6,0.2479205021224,27.3168093053286,28.7967871308593,4124.05538986272,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2017,2017,ALB,6,0.24823123835544,27.4295967906912,28.8186210988971,4531.03220675893,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2018,2018,ALB,6,0.247085902678254,27.1336202468863,28.7349187980167,5287.66080067575,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2019,2019,ALB,6,0.24116544921998,26.8889496769776,28.8101656459405,5396.2142432843,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2020,2020,ALB,5,0.246038756135664,25.7192093879737,32.3843492838729,5343.0377039956,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2021,2021,ALB,5,0.224433449475748,27.3722482331418,31.9433800180229,6377.20309553753,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2022,2022,ALB,5,,26.6445895674037,30.2834274947818,6810.11404104233,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2023,2023,ALB,5,,27.1604708134207,28.4761158373234,8367.77573143421,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2024,2024,ALB,-,,28.0757423190856,28.5260630625691,,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2025,2025,ALB,-,,27.9156199652721,30.4548235628468,,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
ALB-2026,2026,ALB,-,,27.8977554604563,30.4500282618507,,ALBANIA,1.0,0.0,0.0,0.0,0.0,Albanian,,Greek/Macedonian/Aromanian,,Italian,41.153332,20.168331,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,Upper middle income
DZA-1999,1999,DZA,6,0.738486460310675,27.5948806846994,29.4256888832545,1602.8649145582,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2000,2000,DZA,6,0.704419806191662,35.2647713857286,26.3521744127472,1780.37606280604,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2001,2001,DZA,5,0.659545214122554,32.241297042227,29.0894359521206,1904.21555356782,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2002,2002,DZA,5,0.628804915866438,32.7086002464441,32.4936756893499,1945.19192868032,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2003,2003,DZA,4,0.578542261800522,34.2427036064932,27.0255500153943,2292.31758148495,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2004,2004,DZA,4,0.545723768663099,33.4447572265113,27.0815772369139,2827.22716459299,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2005,2005,DZA,4,0.503134005973219,39.274636182826,27.8433106862446,3248.09981432319,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2006,2006,DZA,3,0.47773920611858,40.7072851725995,27.8384035170223,3681.29098817798,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2007,2007,DZA,3,0.43929448798701,37.7358142751559,33.108108997788,4192.66316915541,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2008,2008,DZA,3,0.41410353464661,45.0917594917085,37.3061386848444,5217.99182157355,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2009,2009,DZA,3,0.402075687444595,33.5845078502949,40.1139525115147,4270.85845146029,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2010,2010,DZA,3,0.390275186779322,33.7423276235195,35.0895399190425,4958.2593791361,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2011,2011,DZA,3,0.376486017552397,36.6622479461113,37.720524192966,5974.57008682611,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2012,2012,DZA,3,0.361674262312349,35.9948182497994,40.0312460786256,6096.09001549263,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2013,2013,DZA,3,0.37102150957005,32.6780459803845,33.4663391299507,6044.67490330703,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2014,2014,DZA,3,0.352668299651251,29.8023165858729,36.9472775844101,6164.64469897525,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2015,2015,DZA,3,0.353028810577096,27.0391929667978,40.9178016343535,4741.49977033558,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2016,2016,DZA,3,0.341671415034598,25.3323186079364,37.1793269178035,4481.08196153066,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2017,2017,DZA,4,0.345268514243727,28.7015173368434,36.248541642859,4615.86874364885,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2018,2018,DZA,4,0.355778827606542,30.0957840260326,36.2497848138179,4640.31414537956,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2019,2019,DZA,4,0.358344249036476,28.5905069843779,37.0990527151919,4530.10174483631,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2020,2020,DZA,4,0.380099237656531,26.9874052124655,37.5055999093681,3794.40952448639,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2021,2021,DZA,5,0.37047365028287,26.2294061988137,32.5460696849705,4216.2512851303,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2022,2022,DZA,5,,29.7262379250613,32.6879945286231,5023.25293164928,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2023,2023,DZA,5,,31.9129875429957,37.4368160021575,5260.20624980797,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2024,2024,DZA,-,,25.654300607318,37.8969964075357,,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2025,2025,DZA,-,,23.98075131612,38.3611056640294,,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
DZA-2026,2026,DZA,-,,24.1361807189496,37.2368907308438,,ALGERIA,1.0,0.0,0.0,1.0,1.0,Arabic/Tamazight,,,Arabic/Tamazight,French,28.033886,1.659626,Africa,Northern Africa,Northern Africa,2.0,15.0,0.0,Lower middle income
AND-1999,1999,AND,-,,,,18891.0989731077,ANDORRA,0.0,0.0,1.0,0.0,0.0,Catalan,,Spanish/French/Portuguese,,,42.546245,1.601554,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,High income
AND-2000,2000,AND,-,,,,21674.299721519,ANDORRA,0.0,0.0,1.0,0.0,0.0,Catalan,,Spanish/French/Portuguese,,,42.546245,1.601554,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,High income
AND-2001,2001,AND,-,,,,22829.0446484521,ANDORRA,0.0,0.0,1.0,0.0,0.0,Catalan,,Spanish/French/Portuguese,,,42.546245,1.601554,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,High income
AND-2002,2002,AND,-,,25.977478958426,24.9998275539572,24901.9721421265,ANDORRA,0.0,0.0,1.0,0.0,0.0,Catalan,,Spanish/French/Portuguese,,,42.546245,1.601554,Europe,Southern Europe,Southern Europe,150.0,39.0,0.0,High income
